Pusat Kendali|Deskripsi|Rekening|Nama Rekening|Realisasi 2017|Real-Rata2 2017|Realisasi Jan 2018|Realisasi Feb 2018|Realisasi Mar 2018|Realisasi Apr 2018|Realisasi Mei 2018|Realisasi Jun 2018|Real-Smt-1 2018|Realisasi Jul 2018|Realisasi Agu 2018|Realisasi Sep 2018|Realisasi Okt 2018|Realisasi Nov 2018|Realisasi Des 2018|Real-Q123 2018|Real Jan-Des 2018|Anggaran Smt-1 2018|Anggaran Per Bulan 2018|RKAP 2018|Anggaran Jan-Des 2018|Sisa Anggaran
PK12|PENDIDIKAN & PELATIHAN|0006111004|Biaya SPD Pelatihan Luar Negeri|           1.180.379.358|              98.364.947|                       0|             638.720.440|              50.428.160|              34.813.150|                       0|                       0|             723.961.750|             783.174.534-|                       0|                       0|              59.212.784-|                       0|                       0|                       0|              59.212.784-|           1.000.000.080|             166.666.669|           2.000.000.025|           2.000.000.025|           2.059.212.809
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112002|Langganan-langganan dan Penerbitan|           1.429.167.984|             119.097.332|             194.676.300|             161.558.335|             181.207.700|               4.125.100|             400.265.344|              17.290.000|             959.122.779|             165.833.129|              21.893.100|                       0|           1.146.849.008|                       0|                       0|                       0|           1.146.849.008|           1.239.544.215|             206.590.646|           2.479.087.755|           2.479.087.755|           1.332.238.747
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112003|Ongkos-ongkos dan Biaya Assosiasi|             548.538.944|              45.711.579|             260.000.000|              17.500.000|              15.000.000|                       0|              91.250.000|                       0|             383.750.000|             178.408.000|              39.000.000|                       0|             601.158.000|                       0|                       0|                       0|             601.158.000|             619.250.130|             103.208.321|           1.238.499.855|           1.238.499.855|             637.341.855
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112004|Ongkos-ongkos Representasi|           2.804.175.681|             233.681.307|           2.601.686.600|             164.632.019|             405.317.970|             263.492.769|             253.805.521|               3.686.908|           3.692.621.787|              63.362.151|             501.339.339|                       0|           4.257.323.277|                       0|                       0|                       0|           4.257.323.277|             237.500.235|              39.583.328|             474.999.930|             474.999.930|           3.782.323.347-
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112005|Biaya Relasi Perusahaan|           6.582.246.390|             548.520.532|             193.040.015|             502.928.527|             812.322.822|             444.013.561|             517.972.399|              94.538.411|           2.564.815.735|             145.952.367|             225.189.793|                       0|           2.935.957.895|                       0|                       0|                       0|           2.935.957.895|           1.459.089.990|             243.181.553|           2.918.178.630|           2.918.178.630|              17.779.265-
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112007|Biaya Bantuan Sosial|           3.794.946.585|             316.245.549|             209.662.000|             452.500.000|             311.807.897|             172.038.024|             237.245.440|             150.000.000|           1.533.253.361|             210.712.259|               4.800.000|                       0|           1.748.765.620|                       0|                       0|                       0|           1.748.765.620|           1.905.750.045|             317.624.996|           3.811.499.955|           3.811.499.955|           2.062.734.335
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112008|Legal Fees (By Hukum Notaris Pengacara P|           2.548.459.091|             212.371.591|              22.794.900|              15.284.645|                 388.176|             330.000.000|             540.000.000|             260.640.000|           1.169.107.721|             244.002.900|             383.500.000|                       0|           1.796.610.621|                       0|                       0|                       0|           1.796.610.621|           5.250.645.180|             875.107.496|          10.501.289.955|          10.501.289.955|           8.704.679.334
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006112009|Ongkos-ongkos Umum Lainnya|           4.498.575.695|             374.881.308|             382.311.776|             103.257.503|             193.196.931|             300.130.048|             277.603.158|              98.301.875|           1.354.801.291|             345.550.485|             284.708.723|                       0|           1.985.060.499|                       0|                       0|                       0|           1.985.060.499|           2.650.239.405|             441.706.388|           5.300.476.650|           5.300.476.650|           3.315.416.151
PK13|REPRESENTASI, RELASI DAN PROGRAM KEMITRAAN & BINA LINGKUNGA|0006201001|Iklan dan Promosi Penjualan|           2.037.094.159|             169.757.847|             173.915.727|              85.472.500|                       0|             105.000.000|              76.355.605|             197.840.000|             638.583.832|             189.906.500|             168.001.000|                       0|             996.491.332|                       0|                       0|                       0|             996.491.332|           2.000.000.160|             333.333.338|           4.000.000.050|           4.000.000.050|           3.003.508.718
PK14|PENYUSUTAN|0006104001|Biaya Penyusutan Peningkatan Tanah|           8.066.952.527|             672.246.044|             563.492.059|             624.279.320|             624.059.021|             614.997.162|             615.914.087|             615.784.534|           3.658.526.183|             615.767.544|                       0|                       0|           4.274.293.727|                       0|                       0|                       0|           4.274.293.727|           4.231.944.630|             705.324.004|           8.463.888.045|           8.463.888.045|           4.189.594.318
PK14|PENYUSUTAN|0006104002|Biaya Penyusutan Gedung dan Bangunan|          16.358.592.477|           1.363.216.040|           1.095.328.168|           1.087.170.530|           1.518.140.869|           1.078.855.903|           1.078.262.845|           1.073.144.644|           6.930.902.959|           1.073.116.862|                       0|                       0|           8.004.019.821|                       0|                       0|                       0|           8.004.019.821|          31.119.213.960|           5.186.535.289|          62.238.423.465|          62.238.423.465|          54.234.403.644
PK14|PENYUSUTAN|0006104003|Biaya Penyusutan Pabrik dan Mesin Pabrik|         324.907.250.359|          27.075.604.197|          24.714.958.775|          24.722.242.972|          24.661.491.402|          24.564.732.024|          24.048.475.032|          23.352.137.569|         146.064.037.774|          23.386.243.895|                       0|                       0|         169.450.281.669|                       0|                       0|                       0|         169.450.281.669|         241.263.081.900|          40.210.513.234|         482.526.158.805|         482.526.158.805|         313.075.877.136
PK14|PENYUSUTAN|0006104004|Biaya Penyusutan Angkutan|              78.070.000|               6.505.833|              10.600.000|              10.600.000|              10.600.000|              10.600.000|              10.600.000|              10.600.000|              63.600.000|              10.600.000|                       0|                       0|              74.200.000|                       0|                       0|                       0|              74.200.000|              59.100.165|               9.850.005|             118.200.060|             118.200.060|              44.000.060
PK14|PENYUSUTAN|0006104005|Biaya Penyusutan Peralatan|           6.726.509.074|             560.542.423|             645.169.798|             636.248.864|             632.864.920|             631.496.921|             631.951.620|             638.075.140|           3.815.807.263|             615.330.342|                       0|                       0|           4.431.137.605|                       0|                       0|                       0|           4.431.137.605|           3.303.156.780|             550.525.849|           6.606.310.185|           6.606.310.185|           2.175.172.580
PK14|PENYUSUTAN|0006104006|Biaya Amortisasi Software|          23.738.576.785|           1.978.214.732|           1.977.922.714|           1.977.922.716|           1.977.922.717|           1.977.922.715|           1.977.922.714|           1.977.922.718|          11.867.536.294|           1.971.297.713|                       0|                       0|          13.838.834.007|                       0|                       0|                       0|          13.838.834.007|          11.883.365.145|           1.980.560.824|          23.766.729.885|          23.766.729.885|           9.927.895.878
PK14|PENYUSUTAN|0006104007|Biaya Amortisasi Insurance Spare|           3.517.127.728|             293.093.977|             384.634.511|             384.578.875|             384.578.877|             384.578.876|             389.445.542|             404.088.900|           2.331.905.581|             401.086.297|                       0|                       0|           2.732.991.878|                       0|                       0|                       0|           2.732.991.878|           1.701.768.825|             283.628.093|           3.403.537.110|           3.403.537.110|             670.545.232
PK14|PENYUSUTAN|0006104008|Biaya Penyusutan Aktiva Tetap Lain|           2.634.607.942|             219.550.662|             220.612.866|             220.612.938|             221.612.864|             221.612.866|             221.612.873|             221.585.433|           1.327.649.840|             221.585.362|                       0|                       0|           1.549.235.202|                       0|                       0|                       0|           1.549.235.202|           1.319.186.520|             219.864.330|           2.638.371.960|           2.638.371.960|           1.089.136.758
PK14|PENYUSUTAN|0006106006|Biaya Pajak & Retribusi Daerah|          34.256.229.551|           2.854.685.796|           1.833.576.825|           1.784.827.771|           1.866.177.402|           1.997.956.585|           1.710.610.196|           2.293.896.724|          11.487.045.503|           1.706.567.606|           1.573.166.702|                       0|          14.766.779.811|                       0|                       0|                       0|          14.766.779.811|          29.646.407.025|           4.941.067.826|          59.292.813.915|          59.292.813.915|          44.526.034.104
