Collector Code|Customer|Customer Name|Currency|Amount|Bank.Doc|Date|House Bank|Pembayaran
10191|150009|AFRO PACIFIC INDAH STEEL|IDR|       86831487|2100000000|20180105|MAN11|
7021|150252|HAMASA STEEL CENTER|IDR|       85826318|2100000018|20180116|MAN11|
7021|150252|HAMASA STEEL CENTER|IDR|       72013767|2100000019|20180116|MAN11|
7039|152722|FARIKA STEEL|IDR|      691221960|2100000020|20180129|MAN11|
5500|151115|BARATA INDONESIA(PERSERO)|IDR|     1368537950|2100000085|20180130|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|      277000000|2100000086|20180130|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|      540000000|2100000087|20180130|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|     2770000000|2100000088|20180130|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|       98899881|2100000198|20180131|MAN11|
9867|151007|SUNRISE STEEL|IDR|      731514689|2100000199|20180131|MAN11|
5500|250000|CIPTA DAMAS KARYA|IDR|      539006098|2100000200|20180131|MAN11|
||Others Income|IDR|      419435100|2100000203|20180131|MAN11|8000232387MK77106356519016
5500|250002|KHI PIPE INDUSTRIES|IDR|      210000000|2100000222|20180201|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|     2223879618|2100000228|20180202|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|     1900000000|2100000229|20180202|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|     1600000000|2100000251|20180131|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|      139000000|2100000252|20180131|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|     1530877780|2100000253|20180131|MAN11|
5500|250002|KHI PIPE INDUSTRIES|IDR|      280000000|2100000254|20180131|MAN11|
5500|250000|CIPTA DAMAS KARYA|IDR|     3714000000|2100000257|20180201|MAN11|
5500|250000|CIPTA DAMAS KARYA|IDR|     2822732743|2100000258|20180201|MAN11|
||Others Income|IDR|      349382150|2100000282|20180228|MAN11|8000232390MK77106368078004
5500|150769|PERTAMINA (Persero) RU-III PLAJU|IDR|      419435100|2100000833|20180228|MAN11|
5500|150769|PERTAMINA (Persero) RU-III PLAJU|IDR|     1150000000|2100000834|20180228|MAN11|
5921|152684|KRAKATAU NIPPON STEEL SUMIKIN|IDR|      158649691|2100000835|20180228|MAN11|
||Others Income|IDR|      274794500|2100000849|20180228|MAN01|8000232392MK77106356519015
||Others Income|IDR|       61000000|2100000850|20180228|MAN01|8000232393MK77106367843004
7021|150085|BANGUN ERA SEJAHTERA|IDR|     2213964211|2100000851|20180228|MAN01|
5500|250000|CIPTA DAMAS KARYA|IDR|     1365000000|2100000852|20180228|MAN01|
5500|150485|PERTAMINA (Persero) RU-IV CILACAP|IDR|      349382150|2100000854|20180312|MAN11|
5500|150971|PERTAMINA (Persero) RU-V BALIKPAPAN|IDR|      274794500|2100000855|20180312|MAN11|
5500|150971|PERTAMINA (Persero) RU-V BALIKPAPAN|IDR|       61986100|2100000856|20180312|MAN11|
